"Rank","Country","Score","Elec­toralprocessandplura­lism","Functio­ningofgovern­ment","Poli­ticalpartici­pation","Poli­ticalculture","Civilliber­ties","Regimetype","Region"
"1","Norway","9.87","10.00","9.64","10.00","10.00","9.71","Full democracy","Europe"
"2","Iceland","9.58","10.00","9.29","8.89","10.00","9.71","Full democracy","Europe"
"3","Sweden","9.39","9.58","9.64","8.33","10.00","9.41","Full democracy","Europe"
"4","New Zealand","9.26","10.00","9.29","8.89","8.13","10.00","Full democracy","Oceania"
"5","Denmark","9.22","10.00","9.29","8.33","9.38","9.12","Full democracy","Europe"
"=6","Ireland","9.15","9.58","7.86","8.33","10.00","10.00","Full democracy","Europe"
"=6","Canada","9.15","9.58","9.64","7.78","8.75","10.00","Full democracy","North America"
"8","Finland","9.14","10.00","8.93","8.33","8.75","9.71","Full democracy","Europe"
"9","Australia","9.09","10.00","8.93","7.78","8.75","10.00","Full democracy","Oceania"
"10","Switzerland","9.03","9.58","9.29","7.78","9.38","9.12","Full democracy","Europe"
"11","Netherlands","8.89","9.58","9.29","8.33","8.13","9.12","Full democracy","Europe"
"12","Luxembourg","8.81","10.00","8.93","6.67","8.75","9.71","Full democracy","Europe"
"13","Germany","8.68","9.58","8.57","8.33","7.50","9.41","Full democracy","Europe"
"14","United Kingdom","8.53","9.58","7.50","8.33","8.13","9.12","Full democracy","Europe"
"15","Uruguay","8.38","10.00","8.57","6.11","7.50","9.71","Full democracy","South America"
"16","Austria","8.29","9.58","7.86","8.33","6.88","8.82","Full democracy","Europe"
"17","Mauritius","8.22","9.17","8.21","5.56","8.75","9.41","Full democracy","Africa"
"18","Malta","8.21","9.17","8.21","6.11","8.75","8.82","Full democracy","Europe"
"19","Spain","8.08","9.17","7.14","7.78","7.50","8.82","Full democracy","Europe"
"20","Costa Rica","8.07","9.58","7.50","6.67","7.50","9.12","Full democracy","North America"
"21","South Korea","8.00","9.17","7.86","7.22","7.50","8.24","Flawed democracy","Asia"
"22","Japan","7.99","8.75","8.21","6.67","7.50","8.82","Flawed democracy","Asia"
"=23","Chile","7.97","9.58","8.57","4.44","8.13","9.12","Flawed democracy","South America"
"=23","Estonia","7.97","9.58","8.21","6.67","6.88","8.53","Flawed democracy","Europe"
"25","United States","7.96","9.17","7.14","7.78","7.50","8.24","Flawed democracy","North America"
"26","Cape Verde","7.88","9.17","7.86","6.67","6.88","8.82","Flawed democracy","Africa"
"27","Portugal","7.84","9.58","7.50","6.11","6.88","9.12","Flawed democracy","Europe"
"28","Botswana","7.81","9.17","7.14","6.11","7.50","9.12","Flawed democracy","Africa"
"29","France","7.80","9.58","7.50","7.78","5.63","8.53","Flawed democracy","Europe"
"30","Israel","7.79","9.17","7.50","8.89","7.50","5.88","Flawed democracy","Asia"
"31","Belgium","7.78","9.58","8.93","5.00","6.88","8.53","Flawed democracy","Europe"
"32","Taiwan","7.73","9.58","8.21","6.11","5.63","9.12","Flawed democracy","Asia"
"33","Italy","7.71","9.58","6.07","7.78","6.88","8.24","Flawed democracy","Europe"
"34","Czech Republic","7.69","9.58","6.79","6.67","6.88","8.53","Flawed democracy","Europe"
"35","Cyprus","7.59","9.17","6.43","6.67","6.88","8.82","Flawed democracy","Europe"
"=36","Slovenia","7.50","9.58","6.79","6.67","6.25","8.24","Flawed democracy","Europe"
"=36","Lithuania","7.50","9.58","6.43","6.11","6.25","9.12","Flawed democracy","Europe"
"38","Latvia","7.38","9.58","6.07","5.56","6.88","8.82","Flawed democracy","Europe"
"39","Greece","7.29","9.58","5.36","6.11","6.88","8.53","Flawed democracy","Europe"
"40","South Africa","7.24","7.42","7.50","8.33","5.00","7.94","Flawed democracy","Africa"
"41","India","7.23","9.17","6.79","7.22","5.63","7.35","Flawed democracy","Asia"
"42","Timor-Leste","7.19","9.08","6.79","5.56","6.88","7.65","Flawed democracy","Asia"
"43","Trinidad and Tobago","7.16","9.58","7.14","6.11","5.63","7.35","Flawed democracy","North America"
"44","Slovakia","7.10","9.58","6.79","5.56","5.63","7.94","Flawed democracy","Europe"
"45","Panama","7.05","9.58","6.07","6.67","5.00","7.94","Flawed democracy","North America"
"46","Bulgaria","7.03","9.17","6.43","7.22","4.38","7.94","Flawed democracy","Europe"
"=47","Argentina","7.02","9.17","5.36","6.11","6.25","8.24","Flawed democracy","South America"
"=47","Jamaica","7.02","8.75","7.14","4.44","6.25","8.53","Flawed democracy","North America"
"49","Suriname","6.98","9.17","6.43","6.67","5.00","7.65","Flawed democracy","South America"
"50","Brazil","6.97","9.58","5.36","6.67","5.00","8.24","Flawed democracy","South America"
"51","Colombia","6.96","9.17","6.79","5.00","5.63","8.24","Flawed democracy","South America"
"52","Malaysia","6.88","7.75","7.86","6.67","6.25","5.88","Flawed democracy","Asia"
"53","Philippines","6.71","9.17","5.71","7.22","4.38","7.06","Flawed democracy","Asia"
"=54","Poland","6.67","9.17","6.07","6.11","4.38","7.65","Flawed democracy","Europe"
"=54","Guyana","6.67","9.17","5.71","6.11","5.00","7.35","Flawed democracy","South America"
"56","Lesotho","6.64","9.17","5.00","6.67","5.63","6.76","Flawed democracy","Africa"
"=57","Ghana","6.63","8.33","5.71","6.67","6.25","6.18","Flawed democracy","Africa"
"=57","Hungary","6.63","8.75","6.07","5.00","6.25","7.06","Flawed democracy","Europe"
"59","Peru","6.60","9.17","5.00","5.56","5.63","7.65","Flawed democracy","South America"
"60","Croatia","6.57","9.17","6.07","5.56","5.00","7.06","Flawed democracy","Europe"
"61","Dominican Republic","6.54","9.17","5.36","6.11","5.00","7.06","Flawed democracy","North America"
"62","Mongolia","6.50","9.17","5.71","5.56","5.00","7.06","Flawed democracy","Asia"
