"Rank","Country","pbi","estimado"
"1","Liechtenstein",139100,2009
"2","Qatar",124100,2017
"3","Monaco",115700,2015
"4","Macau",110000,2017
"5","Luxembourg",105100,2017
"6","Bermuda",99400,2016
"7","Singapore",94100,2017
"8","Isle of Man",84600,2014
"9","Brunei",78900,2017
"10","Ireland",73200,2017
"11","Norway",72100,2017
"12","Falkland Islands (Islas Malvinas)",70800,2015
"13","United Arab Emirates",68600,2017
"14","Sint Maarten",66800,2014
"15","Kuwait",65800,2017
"16","Switzerland",62100,2017
"17","Gibraltar",61700,2014
"18","Hong Kong",61500,2017
"19","United States",59800,2017
"20","San Marino",59000,2017
"21","Jersey",56600,2016
"22","Saudi Arabia",54500,2017
"23","Netherlands",53900,2017
"24","Guernsey",52500,2014
"25","Iceland",52200,2017
"26","Sweden",51200,2017
"27","Germany",50800,2017
"28","Taiwan",50500,2017
"29","Australia",50400,2017
"30","Denmark",50100,2017
"31","Austria",50000,2017
"32","Andorra",49900,2015
"33","Bahrain",49000,2017
"34","Canada",48400,2017
"35","Belgium",46600,2017
"36","Saint Pierre and Miquelon",46200,2006
"37","Oman",46000,2017
"38","Finland",44500,2017
"39","United Kingdom",44300,2017
"40","France",44100,2017
"41","Cayman Islands",43800,2004
"42","Japan",42900,2017
"43","Malta",41900,2017
"44","Greenland",41800,2015
"45","Faroe Islands",40000,2014
"46","Korea, South",39500,2017
"47","Puerto Rico",39400,2017
"48","New Zealand",39000,2017
"49","Spain",38400,2017
"50","Italy",38200,2017
"51","Aruba",37500,2017
"52","Equatorial Guinea",37400,2017
"53","Cyprus",37200,2017
"54","Virgin Islands",37000,2016
"55","Israel",36400,2017
"56","Guam",35600,2016
"57","Czechia",35500,2017
"58","Slovenia",34500,2017
"59","British Virgin Islands",34200,2017
"60","Montserrat",34000,2011
"61","Slovakia",33100,2017
"62","Bahamas, The",32400,2017
"63","Lithuania",32400,2017
"64","Estonia",31700,2017
"65","Trinidad and Tobago",31300,2017
"66","New Caledonia",31100,2015
"67","Portugal",30500,2017
"68","Hungary",29600,2017
"69","Poland",29600,2017
"70","Seychelles",29300,2017
"71","Malaysia",29100,2017
"72","Turks and Caicos Islands",29100,2007
"73","Saint Kitts and Nevis",28200,2017
"74","Russia",27900,2017
"75","Greece",27800,2017
"76","Latvia",27700,2017
"77","Turkey",27000,2017
"78","Antigua and Barbuda",26400,2017
"79","Kazakhstan",26300,2017
"80","Panama",25400,2017
"81","Croatia",24700,2017
"82","Chile",24600,2017
"83","Romania",24600,2017
"84","Northern Mariana Islands",24500,2016
"85","Uruguay",22400,2017
"86","Mauritius",22300,2017
"87","Bulgaria",21800,2017
"88","Argentina",20900,2017
"89","Iran",20100,2017
"90","Mexico",19900,2017
"91","Lebanon",19600,2017
"92","Saint Martin",19300,2005
"93","Maldives",19200,2017
"94","Belarus",18900,2017
"95","Barbados",18600,2017
"96","Turkmenistan",18200,2017
"97","Gabon",18100,2017
"98","Thailand",17900,2017
"99","Montenegro",17800,2017
"100","Azerbaijan",17500,2017
"101","Botswana",17000,2017
"102","Dominican Republic",17000,2017
"103","French Polynesia",17000,2015
"104","Costa Rica",16900,2017
"105","China",16700,2017
"106","Cook Islands",16700,2016
"107","Iraq",16700,2017
"108","Brazil",15600,2017
"109","Algeria",15200,2017
"110","Grenada",15100,2017
"111","Serbia",15100,2017
"112","Curacao",15000,2004
"113","Macedonia",14900,2017
"114","Suriname",14900,2017
"115","Palau",14700,2017
"116","Colombia",14400,2017
"117","Saint Lucia",14400,2017
"118","South Africa",13600,2017
"119","Peru",13500,2017
"120","Mongolia",13000,2017
"121","Sri Lanka",12900,2017
