ubiReg,ubiProv,ubiDis,depa,prov,dist,pobla,idh,esperanza,secundaria,tiempoedu,percapitaf,PPK,FP
10000,10200,10202,AMAZONAS,BAGUA,ARAMANGO,11587,0.3115,76.75,21.63,5.38,404.6,1823,3072
10000,10200,10201,AMAZONAS,BAGUA,BAGUA,26067,0.4793,74.71,59.31,8.33,662,4949,5809
10000,10200,10203,AMAZONAS,BAGUA,COPALLIN,6501,0.3663,77.97,38.66,5.77,452.5,1490,1321
10000,10200,10204,AMAZONAS,BAGUA,EL PARCO,1443,0.4081,77.42,44.14,6.24,551.4,604,400
10000,10200,10205,AMAZONAS,BAGUA,IMAZA,23820,0.2357,77.44,15.98,5.78,209.4,6282,2059
10000,10200,10206,AMAZONAS,BAGUA,LA PECA,8020,0.4872,74.91,59.22,8.33,691.3,2342,2765
10000,10300,10302,AMAZONAS,BONGARA,CHISQUILLA,349,0.3432,72.97,50.05,5.76,368.6,135,118
10000,10300,10303,AMAZONAS,BONGARA,CHURUJA,282,0.3613,65.62,29.2,6.75,573.3,92,162
10000,10300,10304,AMAZONAS,BONGARA,COROSHA,922,0.2462,77.34,12.66,4.83,291.4,234,189
10000,10300,10305,AMAZONAS,BONGARA,CUISPES,883,0.1604,69.16,0.67,5.04,387.1,283,155
10000,10300,10306,AMAZONAS,BONGARA,FLORIDA,7786,0.3203,74.29,26.48,5.96,389.1,866,1894
10000,10300,10307,AMAZONAS,BONGARA,JAZAN,9208,0.3966,73.48,25.9,7.82,609.3,1422,2254
10000,10300,10301,AMAZONAS,BONGARA,JUMBILLA,1734,0.3448,71.42,29.76,7.8,403.3,270,260
10000,10300,10308,AMAZONAS,BONGARA,RECTA,223,0.2828,73.55,17.01,5.48,363.4,145,70
10000,10300,10309,AMAZONAS,BONGARA,SAN CARLOS,347,0.1678,71.85,1.16,5.09,321.9,149,147
10000,10300,10310,AMAZONAS,BONGARA,SHIPASBAMBA,1659,0.3281,74.44,30.01,5.71,402.2,407,431
10000,10300,10311,AMAZONAS,BONGARA,VALERA,1320,0.254,69.42,14.65,5.34,320.4,207,424
10000,10300,10312,AMAZONAS,BONGARA,YAMBRASBAMBA,7604,0.3211,74.54,24.74,5.56,421.4,918,1853
10000,10100,10102,AMAZONAS,CHACHAPOYAS,ASUNCION,296,0.1683,73.28,0.75,6.08,342,99,69
10000,10100,10103,AMAZONAS,CHACHAPOYAS,BALSAS,1590,0.2634,71.97,14.48,5.28,340.3,223,393
10000,10100,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27737,0.5467,73.39,62.72,9.97,866.6,7222,5833
10000,10100,10104,AMAZONAS,CHACHAPOYAS,CHETO,608,0.3274,77.84,44.61,4.96,346.8,253,164
10000,10100,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,790,0.2115,76.25,8.03,4.44,258.6,128,297
10000,10100,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2146,0.2319,70.88,10.35,6.15,260.8,296,407
10000,10100,10107,AMAZONAS,CHACHAPOYAS,GRANADA,415,0.3269,71.32,40.13,5.28,390.8,138,146
10000,10100,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,1119,0.2954,74.71,25.77,5.74,321.7,137,178
10000,10100,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,5632,0.2278,75.8,18.81,5.28,195.2,1546,676
10000,10100,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,4217,0.2793,72,11.49,6.41,390,823,822
10000,10100,10111,AMAZONAS,CHACHAPOYAS,LEVANTO,932,0.2123,77.74,6.22,4.68,274.1,231,418
10000,10100,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,856,0.4013,73.44,36.74,6.27,615.2,258,220
10000,10100,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1090,0.2626,70.64,11.09,5.93,361.6,223,326
