pais,year,idnum,estratopri,estratosec,upm,prov,municipio,cluster,ur,tamano,idiomaq,fecha,q1,q2,enc,perprov,distrito,segmento,persec,horaini,ls3,a4,soct1,soct2,idio1,idio2,cp2,cp4a,cp4,np1,np1b,np2,sgl1,sgl2,lgl3,muni5,muni6,muni11,muni15,cp5,cp6,cp6l,cp7,cp7l,cp8,cp8l,cp9,cp13,cp20,cp21,it1,mil6,mil5,l1,prot3,prot4,prot7,prot6,prot8,jc1,jc10,jc13,perjc15,jc15a,jc16a,vic1ext,vic1exta,vic2,vic2aa,aoj1,vic1hogar,arm2,vic40,vic41,vic43,vic44,vic45,vic101,vic102,vic103,vol207,vol206,vol202,vol203,vol204,vol205,aoj8,aoj11,aoj12,aoj17,aoj18,aoj20,aoj21,aoj22,b1,b2,b3,b4,b6,b10a,b11,b12,b13,b18,b20,b20a,b21,b21a,b31,b32,b33,b17,b43,b37,b47a,b48,n1,n3,n9,n11,n15,epp1,epp3,mil1,mil2,b3milx,mil3,mil4,m1,m2,sd2new2,sd3new2,sd6new2,pop101,pop107,pop113,eff1,eff2,ing4,dem23,ros1,ros2,ros3,ros4,ros6,cct3,gen1,gen6,rac2a,mil7,w14a,pn4,pn5,e5,e8,e11,e15,e14,e3,e16,d1,d2,d3,d4,d5,d6,d7,d8,dem2,dem11,aut1,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7,exc7mil,vb1,vb2,vb3,cv2,vb10,vb11,pol1,vb20,pp1,pp2,perw1,vb50,vb51,vb52,vb53,rac1ca,ab1,ab2,ab5,soc1,soc2a,soc2b,soc3,soc4,soc5,soc6,soc7,soc8,soc9,soc10,soc11,soc12a,soc12b,vb22,snw1a,snw1b,for1,for2,for3,for4,for5,for6,for7,for8,for9a,for9b,for9c,for9d,mil10a,mil10b,mil10c,mil10d,mil10e,mil11a,mil11b,mil11c,mil11d,mil11e,cct1new,cct1b,ed,ed2,edpadre,mov1,q2d,q2m,q2y,q3c,q5a,q5b,mil8,ocup4a,ocup1a,q10new,q10g,q10a,q14,q10d,q10e,fs2,fs8,q11,gen10,q12c,q12,q12b,etid,leng1,leng4,www1,gi0,gi1,gi4,gi7,r1,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r16,r26,colorr,horafin,ti,intid,sexi,colori,wt,weight1500,odd,muni10
11,2012,827,1107,3,96,1103,1163,222,2,5,1,2101,2,36,827,301,67,2,14,14.5,3,4,3,3,5,3,2,2,2,2,4,2,5,5,2,0,0,4,0,4,3,1,3,1,4,999999,4,4,4,4,3,3,1,5,2,999999,999999,2,2,888888,1,1,988888,2,988888,2,999999,999999,999999,999999,2,1,0,0,0,0,999999,2,1,888888,3,3,3,888888,888888,1,2,3,988888,4,888888,2,6,2,988888,988888,888888,888888,888888,3,4,6,2,2,7,1,888888,4,2,1,1,988888,6,4,4,888888,3,2,3,1,3,2,2,4,3,3,5,4,3,4,2,3,3,2,4,4,2,1,4,888888,4,5,6,6,7,6,3,4,3,6,1,988888,988888,4,4,2,1,1,1,1,3,4,3,2,2,1,6,2,988888,1,988888,0,0,0,999999,999999,999999,999999,1,0,1,988888,1,1,1101,988888,2,999999,4,888888,4,2,2,888888,988888,988888,1,988888,888888,888888,2,1,5,1,888888,888888,888888,888888,3,888888,2,1,2,2,6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1,1,6,0,0,5,19,8,1975,1,4,1,3,5,999999,3,999999,2,2,4,3,999999,999999,3,999999,6,6,2,2,1102,3,5,4,2,2,90,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,3,15.45,55,12,2,4,1,1,1,999999
11,2012,611,1105,3,78,1110,1145,186,2,5,1,2201,1,33,611,1010,49,2,14,12.4,2,3,3,2,3,2,2,2,2,2,3,2,3,3,2,0,1,3,1,4,1,1,4,999999,4,999999,4,3,999999,3,2,2,2,5,2,999999,999999,2,2,2,2,2,2,2,2,2,999999,999999,999999,999999,2,2,0,0,0,0,0,1,1,2,2,3,2,2,2,2,2,3,3,4,2,3,6,2,3,5,5,5,4,3,4,4,3,5,3,7,3,3,3,4,4,4,7,4,4,4,4,4,4,4,4,888888,888888,7,7,7,3,3,3,3,2,2,2,4,4,4,888888,888888,4,4,5,5,6,6,5,4,4,5,5,4,2,2,2,5,5,5,1,1,1,1,4,4,4,4,1,1,1,1,2,2,2,0,0,0,999999,0,999999,0,0,0,1,1,1,1,1101,1,2,999999,4,4,3,2,2,888888,3,3,3,1,2,2,2,888888,1,7,2,1,2,2,2,1,2,1,2,1,9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,2,9,1,1,5,2,7,1978,5,1,1,3,1,4,5,5,2,2,3,2,999999,999999,3,999999,4,2,2,2,1101,2,5,2,1,1,120,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,5,13.3,50,43,1,6,1,1,1,999999
11,2012,461,1104,3,66,1122,1133,162,2,5,1,2301,2,50,461,2207,37,2,14,13.28,2,10,1,1,2,2,2,1,2,1,1,1,2,2,1,0,2,4,2,3,1,1,4,999999,3,1,3,4,1,1,2,2,2,10,2,999999,999999,2,2,2,1,1,1,2,1,2,999999,999999,999999,999999,2,2,0,0,0,0,999999,2,2,2,3,2,2,2,2,2,1,3,1,4,2,2,4,2,5,5,7,6,4,7,7,6,4,5,7,1,1,4,5,6,1,4,7,6,7,5,6,7,7,7,7,7,6,7,7,7,5,6,2,2,1,2,2,6,7,7,6,5,6,6,3,6,7,7,7,2,6,7,7,7,2,2,2,10,10,10,10,1,1,9,10,10,9,9,1,2,1,10,3,1,1,0,0,0,0,999999,999999,999999,999999,0,3,3,1,1,1102,1,2,999999,4,2,4,2,2,3,1,2,3,1,2,1,2,3,5,7,2,2,1,4,1,2,2,1,2,10,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1,2,6,2,2,1,28,9,1961,1,2,1,3,5,999999,4,999999,2,2,2,2,999999,999999,3,999999,3,2,1,2,1101,1,5,2,888888,2,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,7,14.4,72,149,2,5,1,1,1,1
11,2012,822,1107,3,96,1103,1163,221,2,5,1,2101,2,37,822,301,67,1,10,16.03,3,4,3,3,3,3,2,2,2,2,4,2,3,3,2,0,0,4,888888,3,2,1,4,999999,2,1,2,4,4,4,4,4,3,4,988888,999999,999999,2,888888,888888,988888,888888,888888,888888,988888,2,999999,999999,999999,999999,2,988888,0,0,0,0,999999,2,2,1,1,1,2,1,2,1,2,4,2,4,2,2,2,2,3,3,3,2,4,3,2,3,2,4,5,4,3,4,5,1,1,4,4,3,2,1,1,1,1,1,1,3,2,4,4,4,2,2,3,3,3,4,4,4,4,3,4,3,5,3,3,4,5,4,4,999999,999999,999999,999999,999999,999999,999999,999999,7,8,5,2,1,6,5,7,6,7,7,7,999999,999999,999999,2,888888,2,0,0,0,999999,999999,999999,999999,999999,0,2,2,1,1,1101,888888,2,999999,4,3,1,888888,2,2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,2,999999,12,999999,999999,888888,888888,988888,999999,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,988888,988888,988888,2,2,6,0,0,5,25,12,1974,1,1,1,3,5,999999,1,999999,2,2,4,888888,1,1,3,999999,3,1,1,888888,1102,3,5,988888,888888,988888,988888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,4,17.11,68,13,2,5,1,1,0,999999
11,2012,821,1107,3,96,1103,1163,221,2,5,1,2101,1,35,821,301,67,1,14,14.4,4,4,5,3,5,3,2,2,2,2,4,2,4,4,2,0,0,4,0,3,2,1,4,999999,3,1,4,4,999999,4,4,888888,4,4,888888,999999,999999,2,2,888888,888888,888888,888888,988888,988888,2,999999,999999,999999,999999,2,888888,0,0,0,0,999999,2,2,2,1,1,1,2,2,888888,2,888888,1,4,1,2,6,2,3,2,3,4,2,3,2,3,1,4,7,2,2,2,3,1,1,3,4,2,3,3,1,1,1,1,1,1,1,4,3,3,2,2,4,4,4,3,4,4,5,988888,2,3,4,4,7,7,6,6,6,7,6,888888,6,6,888888,988888,888888,8,9,4,2,1,1,7,7,8,7,7,2,1,2,8,888888,1,1,0,0,0,999999,999999,999999,999999,999999,0,1,1,1,1,1101,2,2,999999,3,3,1,2,2,2,3,2,4,2,2,1,2,1,5,1,3,1,2,5,3,888888,2,1,2,2,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,2,2,0,0,3,5,10,1976,1,4,1,3,5,999999,1,999999,2,2,4,3,999999,999999,1,999999,2,0,999999,888888,1102,3,5,888888,888888,888888,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,4,15.45,65,13,2,5,1,1,1,999999
11,2012,707,1106,3,86,1106,1153,202,2,5,1,2901,2,31,707,606,57,1,13,6.59,1,988888,988888,3,2,1,2,2,2,2,3,2,2,2,988888,0,2,4,2,4,4,999999,3,1,4,999999,4,4,4,4,2,988888,3,5,2,999999,999999,2,2,2,1,1,1,2,2,2,999999,999999,999999,999999,2,2,0,0,0,0,999999,2,1,2,2,1,2,2,2,2,1,2,3,4,1,2,6,1,4,3,2,3,3,3,4,3,5,5,7,1,4,5,3,4,4,2,6,2,4,3,3,3,2,2,3,1,1,4,3,3,3,3,2,2,3,3,3,4,1,1,1,2,7,4,5,5,5,7,6,5,2,2,3,3,1,3,2,5,4,4,1,1,1,2,988888,988888,988888,988888,988888,4,5,5,2,1,2,0,0,0,999999,999999,999999,0,0,0,888888,888888,1,1,1102,1,2,999999,3,4,4,2,2,888888,1,888888,888888,888888,2,1,2,888888,1,7,3,888888,888888,888888,3,888888,888888,988888,888888,3,7,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,1,6,2,2,5,7,7,1980,1,2,2,3,5,999999,2,999999,2,2,4,3,999999,999999,2,1,6,4,4,2,1101,1,5,5,888888,888888,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,3,7.45,46,76,2,4,1,1,1,999999
11,2012,444,1104,3,64,1106,1131,158,2,5,1,2201,2,20,444,608,35,2,10,13.02,2,13,4,2,2,1,2,2,2,2,4,2,4,4,2,0,0,4,1,4,1,1,4,999999,4,999999,4,4,4,4,4,4,2,3,2,999999,999999,2,1,1,1,1,1,1,1,2,999999,999999,999999,999999,2,2,0,0,0,0,999999,2,2,4,2,3,2,2,3,3,2,3,1,4,2,2,6,1,3,3,3,3,4,3,3,2,2,1,4,1,2,4,3,3,5,3,7,5,3,3,4,4,4,4,4,3,2,4,3,4,4,3,3,4,3,3,3,7,3,2,4,4,5,5,3,4,4,4,4,999999,999999,999999,999999,999999,999999,999999,999999,10,9,10,5,5,5,5,10,5,10,5,5,999999,999999,999999,2,1,1,0,0,0,999999,999999,999999,0,999999,0,4,2,1,2,999999,1,2,999999,4,4,4,2,2,3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,4,2,999999,1,4,999999,1,2,1,2,2,888888,888888,888888,888888,2,2,888888,888888,2,888888,888888,888888,888888,888888,2,1,11,2,1,4,25,5,1991,1,2,1,3,5,999999,2,999999,2,2,4,2,0,0,3,999999,5,0,999999,1,1101,1,3,1,1,1,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,3,14.01,59,75,2,6,1,1,0,999999
11,2012,823,1107,3,96,1103,1163,222,2,5,1,2101,2,59,823,301,67,2,1,9.45,3,4,5,3,4,3,2,1,2,1,4,1,3,888888,2,0,0,4,0,4,2,1,3,1,4,999999,4,4,4,4,4,988888,2,988888,2,999999,999999,2,888888,888888,1,1,888888,888888,988888,2,999999,999999,999999,999999,2,988888,988888,988888,988888,0,988888,888888,988888,988888,3,2,3,988888,988888,988888,888888,888888,4,4,888888,888888,6,2,3,3,4,3,2,4,6,5,2,1,6,4,1,3,4,1,2,3,7,4,4,2,3,2,3,2,4,2,1,3,2,3,5,3,3,4,3,3,988888,2,5,4,5,888888,988888,888888,988888,988888,888888,888888,888888,2,5,6,4,4,1,3,4,5,4,2,1,2,1,1,888888,988888,888888,888888,988888,1,4,5,888888,888888,988888,0,0,0,999999,988888,999999,999999,999999,1,1,1,1,1,1102,1,1,1102,4,3,888888,2,2,988888,988888,888888,888888,888888,888888,988888,2,1,5,1,3,888888,2,5,3,888888,2,1,888888,2,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,2,6,0,0,5,12,2,1952,1,4,1,3,2,4,3,988888,2,1,4,3,999999,999999,3,999999,5,4,3,2,1102,3,5,5,888888,888888,988888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,4,10.4,55,12,2,4,1,1,1,0
11,2012,425,1104,3,63,1101,1130,155,2,5,1,2101,1,29,425,107,34,1,10,12.55,2,4,3,2,3,2,2,2,2,2,4,2,3,3,2,0,1,4,888888,4,3,1,4,999999,4,999999,3,4,999999,4,3,3,2,7,2,999999,999999,2,2,1,1,1,1,888888,888888,2,999999,999999,999999,999999,2,1,1,0,0,0,0,2,2,888888,3,3,3,3,3,3,2,2,3,4,888888,2,6,2,2,2,4,4,5,6,6,4,3,4,6,2,2,4,3,3,3,3,5,5,4,888888,4,4,4,5,4,5,6,5,4,4,3,3,2,3,3,3,3,2,2,2,3,2,3,4,6,5,6,4,6,3,3,3,3,5,1,2,2,7,6,5,4,3,3,3,4,4,3,4,4,2,7,2,3,1,888888,0,0,0,999999,0,999999,0,999999,0,2,2,1,2,999999,1,2,999999,3,3,4,2,2,888888,1,2,3,888888,2,1,2,1,1,7,2,1,888888,2,2,1,2,4,2,1,7,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,2,2,3,2,2,5,16,9,1982,1,4,2,3,1,4,5,5,2,2,4,2,999999,999999,3,999999,4,2,2,2,1101,1,5,3,2,2,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,1,6,13.41,46,73,1,4,1,1,1,999999
11,2012,824,1107,3,96,1103,1163,222,2,5,1,2101,2,26,824,301,67,2,3,10.55,2,5,4,3,5,3,2,2,2,2,888888,2,888888,988888,888888,0,888888,4,888888,4,4,999999,4,999999,4,999999,4,4,4,4,888888,888888,2,888888,2,999999,999999,2,888888,988888,988888,988888,988888,888888,888888,2,999999,999999,999999,999999,2,888888,0,0,0,0,999999,888888,888888,888888,3,888888,3,888888,888888,988888,888888,888888,4,4,888888,888888,6,888888,888888,988888,888888,988888,988888,988888,888888,5,888888,4,6,1,988888,3,888888,6,888888,988888,6,2,888888,988888,888888,988888,888888,988888,888888,1,1,888888,4,3,988888,888888,3,888888,3,888888,888888,2,4,988888,888888,988888,888888,988888,3,4,6,6,6,999999,999999,999999,999999,999999,999999,999999,999999,4,5,2,1,1,1,1,2,3,1,2,888888,999999,999999,999999,888888,1,888888,0,0,0,999999,999999,999999,999999,1,0,2,3,1,1,1101,888888,2,999999,4,3,4,2,2,4,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,888888,2,999999,4,2,888888,888888,888888,888888,999999,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,888888,2,2,8,1,1,888888,12,9,1985,1,4,1,3,5,999999,3,999999,2,2,4,3,1,1,3,999999,4,2,0,2,1102,2,5,5,888888,888888,888888,0,0,0,0,0,0,0,0,0,0,0,999999,0,0,3,11.42,47,12,2,4,1,1,0,999999
