DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
AMAZONAS_BAGUA_ARAMANGO,0.31,76.75,21.63,5.38,404.60
AMAZONAS_BAGUA_BAGUA,0.48,74.71,59.31,8.33,662.00
AMAZONAS_BAGUA_COPALLIN,0.37,77.97,38.66,5.77,452.50
AMAZONAS_BAGUA_EL PARCO,0.41,77.42,44.14,6.24,551.40
AMAZONAS_BAGUA_IMAZA,0.24,77.44,15.98,5.78,209.40
AMAZONAS_BAGUA_LA PECA,0.49,74.91,59.22,8.33,691.30
AMAZONAS_BONGARA_CHISQUILLA,0.34,72.97,50.05,5.76,368.60
AMAZONAS_BONGARA_CHURUJA,0.36,65.62,29.20,6.75,573.30
AMAZONAS_BONGARA_COROSHA,0.25,77.34,12.66,4.83,291.40
AMAZONAS_BONGARA_CUISPES,0.16,69.16,0.67,5.04,387.10
AMAZONAS_BONGARA_FLORIDA,0.32,74.29,26.48,5.96,389.10
AMAZONAS_BONGARA_JAZAN,0.40,73.48,25.90,7.82,609.30
AMAZONAS_BONGARA_JUMBILLA,0.34,71.42,29.76,7.80,403.30
AMAZONAS_BONGARA_RECTA,0.28,73.55,17.01,5.48,363.40
AMAZONAS_BONGARA_SAN CARLOS,0.17,71.85,1.16,5.09,321.90
AMAZONAS_BONGARA_SHIPASBAMBA,0.33,74.44,30.01,5.71,402.20
AMAZONAS_BONGARA_VALERA,0.25,69.42,14.65,5.34,320.40
AMAZONAS_BONGARA_YAMBRASBAMBA,0.32,74.54,24.74,5.56,421.40
AMAZONAS_CHACHAPOYAS_ASUNCION,0.17,73.28,0.75,6.08,342.00
AMAZONAS_CHACHAPOYAS_BALSAS,0.26,71.97,14.48,5.28,340.30
AMAZONAS_CHACHAPOYAS_CHACHAPOYAS,0.55,73.39,62.72,9.97,866.60
AMAZONAS_CHACHAPOYAS_CHETO,0.33,77.84,44.61,4.96,346.80
AMAZONAS_CHACHAPOYAS_CHILIQUIN,0.21,76.25,8.03,4.44,258.60
AMAZONAS_CHACHAPOYAS_CHUQUIBAMBA,0.23,70.88,10.35,6.15,260.80
AMAZONAS_CHACHAPOYAS_GRANADA,0.33,71.32,40.13,5.28,390.80
AMAZONAS_CHACHAPOYAS_HUANCAS,0.30,74.71,25.77,5.74,321.70
AMAZONAS_CHACHAPOYAS_LA JALCA,0.23,75.80,18.81,5.28,195.20
AMAZONAS_CHACHAPOYAS_LEIMEBAMBA,0.28,72.00,11.49,6.41,390.00
AMAZONAS_CHACHAPOYAS_LEVANTO,0.21,77.74,6.22,4.68,274.10
AMAZONAS_CHACHAPOYAS_MAGDALENA,0.40,73.44,36.74,6.27,615.20
AMAZONAS_CHACHAPOYAS_MARISCAL CASTILLA,0.26,70.64,11.09,5.93,361.60
AMAZONAS_CHACHAPOYAS_MOLINOPAMPA,0.31,72.73,21.44,5.69,404.10
AMAZONAS_CHACHAPOYAS_MONTEVIDEO,0.34,72.60,20.82,7.03,484.20
AMAZONAS_CHACHAPOYAS_OLLEROS,0.26,76.45,20.27,5.24,256.40
AMAZONAS_CHACHAPOYAS_QUINJALCA,0.22,77.27,15.95,4.47,213.90
AMAZONAS_CHACHAPOYAS_SAN FRANCISCO DE DAGUAS,0.39,73.56,33.75,6.72,580.70
