"","Country","Overall_Score","Electoral_Processand_Pluralism","Functioningof_Government","Politicalparticipation","Politicalculture","Civilliberties","efa","efa_ok","cfa_ok"
"3","Norway",9.75,10,9.64,10,10,9.12,1.70471403427579,10,9.95067143679078
"4","New Zealand",9.37,10,8.93,8.89,8.75,9.71,1.67644745878338,9.9245085300102,10
"5","Finland",9.27,10,9.29,8.89,8.75,9.41,1.63986288923236,9.82680221482205,9.86985190492619
"6","Sweden",9.26,9.58,9.29,8.33,10,9.12,1.54580182730064,9.57559358023047,9.62450911263589
"7","Iceland",9.18,10,8.21,8.89,9.38,9.41,1.56596508585754,9.62944354265883,9.76576752200875
"8","Denmark",9.09,10,8.93,8.33,9.38,8.82,1.45417439978842,9.33088444678273,9.44247732687844
"9","Ireland",9,10,7.86,8.33,9.38,9.41,1.49810270274375,9.448203651762,9.65174911992177
"10","Taiwan",8.99,10,9.64,7.78,8.13,9.41,1.57659574616576,9.65783481962288,9.74381919874176
"11","Australia",8.9,10,8.57,7.78,8.75,9.71,1.56776912228346,9.63426157807117,9.81704204252117
"12","Switzerland",8.9,9.58,8.93,7.78,9.38,8.82,1.40389449309263,9.19660203013715,9.29921328605781
"13","Netherlands",8.88,9.58,8.93,8.33,8.75,8.82,1.43423457018629,9.27763119548545,9.331662973752
"14","Canada",8.87,10,8.21,8.89,8.13,9.12,1.48441273534556,9.41164189127285,9.52523545225315
"15","Uruguay",8.85,10,8.57,7.22,8.75,9.71,1.52699920511789,9.52537746584405,9.74816216127389
"16","Luxembourg",8.68,10,8.57,6.67,8.75,9.41,1.42250621623252,9.24630831094399,9.50393598996852
"17","Germany",8.67,9.58,8.21,8.33,8.13,9.12,1.43340479441467,9.27541511548035,9.3807414135531
"18","South Korea",8.16,9.58,8.57,7.22,7.5,7.94,1.11725004146309,8.43106143524806,8.56090624690712
"19","Japan",8.15,9.17,8.57,6.67,8.13,8.24,1.14136680902962,8.49547002395341,8.63121902677988
"20","United Kingdom",8.1,9.58,7.5,8.33,6.25,8.82,1.2850432655153,8.87918636433372,9.00755655815582
"21","Mauritius",8.08,9.17,7.86,6.11,8.75,8.53,1.11748843418712,8.43169811007895,8.67610430591113
"22","Austria",8.07,9.58,6.79,8.89,6.88,8.24,1.15595051465279,8.53441868880626,8.6786890980275
"23","Costa Rica",8.07,9.58,6.43,7.78,6.88,9.71,1.36308259733187,9.08760580578454,9.36095495144247
"25","France",7.99,9.58,7.5,7.78,6.88,8.24,1.13009771690883,8.46537368880036,8.63372604711578
"26","Israel",7.97,9.58,7.5,10,6.88,5.88,0.784705950255715,7.54293679176545,7.51771877790427
"27","Spain",7.94,9.58,7.14,7.22,7.5,8.24,1.07100907225815,8.30756579850309,8.55305943541381
