"","regionUbigeo","provinciaUbigeo","PROVINCIA","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","clustDIV"
"1",10000,10100,"CHACHAPOYAS",0.7737,98.6179,25.45,91.4986,70.3454,83.9712,54783,"NO","SI","Pequena",1
"2",10000,10200,"BAGUA",0.6623,94.6079,14.6091,79.7902,64.479,67.9146,77438,"NO","NO","Pequena",1
"3",10000,10300,"BONGARA",0.6318,97.4681,9.0102,76.424,54.8341,72.1693,32317,"NO","NO","Muy pequena",2
"4",10000,10400,"CONDORCANQUI",0.4598,86.232,8.557,52.2149,37.7145,39.4891,51802,"NO","NO","Pequena",3
"5",10000,10500,"LUYA",0.6047,96.1927,12.418,74.726,43.3484,67.3961,52185,"NO","NO","Pequena",2
"6",10000,10600,"RODRIGUEZ DE MENDOZA",0.6312,97.3431,14.8787,79.4244,46.5018,67.5461,30236,"NO","NO","Muy pequena",2
"7",10000,10700,"UTCUBAMBA",0.6097,95.1745,10.1102,77.1683,52.5195,63.1177,118747,"NO","NO","Mediana",2
"8",20000,20100,"HUARAZ",0.8119,98.5073,21.8066,95.0063,82.9326,93.1496,161003,"NO","SI","Mediana",1
"9",20000,20200,"AIJA",0.6579,98.2344,8.594,89.4989,47.7841,79.122,7974,"NO","NO","Muy pequena",2
"10",20000,20300,"ANTONIO RAYMONDI",0.6113,96.8158,4.9923,77.7374,48.9181,73.8765,16879,"NO","NO","Muy pequena",2
"11",20000,20400,"ASUNCION",0.6975,97.1484,17.189,81.5383,67.1184,74.2923,9013,"NO","NO","Muy pequena",1
"12",20000,20500,"BOLOGNESI",0.6757,96.374,9.4165,85.2385,61.385,79.1416,32452,"NO","NO","Muy pequena",1
"13",20000,20600,"CARHUAZ",0.6956,98.4724,10.2247,72.057,73.2979,86.9098,46434,"NO","NO","Muy pequena",1
"14",20000,20700,"CARLOS F. FITZCARRALD",0.4982,97.0656,9.0871,59.7295,29.4336,47.7474,21920,"NO","NO","Muy pequena",3
"15",20000,20800,"CASMA",0.7466,96.9521,10.0441,89.7711,81.9572,87.877,46032,"SI","NO","Muy pequena",1
"16",20000,20900,"CORONGO",0.6702,96.2646,11.3027,78.1769,61.6929,80.1392,8340,"NO","NO","Muy pequena",1
"17",20000,21000,"HUARI",0.6746,97.3123,14.087,76.3536,60.0936,80.0751,63726,"NO","NO","Pequena",1
"18",20000,21100,"HUARMEY",0.7574,98.0051,13.3628,95.5122,75.2566,87.6444,29972,"SI","NO","Muy pequena",1
"19",20000,21200,"HUAYLAS",0.6615,97.3926,14.3251,63.7338,69.345,76.4138,56102,"NO","NO","Pequena",1
"20",20000,21300,"MARISCAL LUZURIAGA",0.5188,96.6549,5.202,69.084,31.2854,53.7286,23888,"NO","NO","Muy pequena",3
"21",20000,21400,"OCROS",0.6367,97.9574,7.4294,93.4748,42.7468,71.765,10283,"NO","NO","Muy pequena",2
"22",20000,21500,"PALLASCA",0.6122,94.5362,9.7786,75.6362,44.66,74.9557,30536,"NO","NO","Muy pequena",2
"23",20000,21600,"POMABAMBA",0.5789,96.6389,14.5264,63.921,49.764,54.9378,29196,"NO","NO","Muy pequena",3
"24",20000,21700,"RECUAY",0.711,97.7199,10.2591,90.2889,73.4154,76.9919,19509,"NO","NO","Muy pequena",1
"25",20000,21800,"SANTA",0.8245,98.0871,19.7013,96.4346,88.6281,96.2817,427157,"SI","NO","Grande",1
"26",20000,21900,"SIHUAS",0.6091,96.7049,12.0564,69.5418,43.0137,75.1775,31006,"NO","NO","Muy pequena",2
"27",20000,22000,"YUNGAY",0.6249,97.275,10.2298,62.354,67.3776,68.3959,57969,"NO","NO","Pequena",2
"28",30000,30100,"ABANCAY",0.7466,97.9042,16.9311,93.6909,63.0011,90.5064,105694,"NO","SI","Mediana",1
"29",30000,30200,"ANDAHUAYLAS",0.718,98.366,12.4028,83.7088,72.297,83.9755,163662,"NO","NO","Mediana",1
"30",30000,30300,"ANTABAMBA",0.57,96.1608,5.3211,91.055,25.2835,63.6509,13399,"NO","NO","Muy pequena",2
"31",30000,30400,"AYMARAES",0.611,97.5102,4.9546,92.2419,34.5556,72.9106,32722,"NO","NO","Muy pequena",2
"32",30000,30500,"COTABAMBAS",0.5426,95.6449,6.0624,74.0475,33.988,57.4942,51667,"NO","NO","Pequena",2
"33",30000,30600,"CHINCHEROS",0.624,97.966,7.1636,81.505,53.1857,67.3993,57750,"NO","NO","Pequena",2
"34",30000,30700,"GRAU",0.5827,95.6384,8.5845,82.4632,27.8333,71.1088,26987,"NO","NO","Muy pequena",2
"35",40000,40100,"AREQUIPA",0.9075,99.4183,40.4944,93.4114,95.5408,97.8951,936464,"NO","SI","Grande",1
"36",40000,40200,"CAMANA",0.7811,98.728,21.3335,90.3838,82.9674,82.893,57187,"SI","NO","Pequena",1
"37",40000,40300,"CARAVELI",0.6946,98.4929,17.5497,80.9079,63.4413,75.1853,39317,"SI","NO","Muy pequena",1
"38",40000,40400,"CASTILLA",0.7406,98.5589,12.3108,82.4863,85.132,83.6063,38990,"NO","NO","Muy pequena",1
"39",40000,40500,"CAYLLOMA",0.6621,98.578,10.9773,84.3677,58.4541,71.3575,86542,"NO","NO","Pequena",1
"40",40000,40600,"CONDESUYOS",0.6454,97.9444,12.945,83.2657,64.6445,55.2726,18540,"NO","NO","Muy pequena",2
"41",40000,40700,"ISLAY",0.8179,98.504,18.6627,94.2023,92.6318,92.52,53047,"SI","NO","Pequena",1
"42",40000,40800,"LA UNION",0.6325,96.7653,19.7837,71.4648,61.8834,53.1603,15164,"NO","NO","Muy pequena",3
"43",50000,50100,"HUAMANGA",0.7591,99.4419,19.1627,83.5629,74.3072,90.3163,261382,"NO","SI","Mediana",1
"44",50000,50200,"CANGALLO",0.5701,99.5,10.6072,70.7635,45.1408,51.9452,34298,"NO","NO","Muy pequena",3
"45",50000,50300,"HUANCA SANCOS",0.5723,99.5,10.4056,85.4506,26.8577,56.9772,10472,"NO","NO","Muy pequena",2
"46",50000,50400,"HUANTA",0.5971,98.3271,7.8265,72.0394,50.3193,64.8231,102619,"NO","NO","Mediana",2
"47",50000,50500,"LA MAR",0.4946,98.2364,5.9239,61.5692,30.5293,47.0695,87160,"NO","NO","Pequena",3
"48",50000,50600,"LUCANAS",0.6193,99.1895,10.0509,91.0306,36.7625,65.8977,67167,"NO","NO","Pequena",2
"49",50000,50700,"PARINACOCHAS",0.6471,99.4064,13.4073,83.9144,43.3083,74.5507,32023,"NO","NO","Muy pequena",2
"50",50000,50800,"PAUCAR DEL SARA SARA",0.7159,98.665,14.4225,93.9172,54.0318,87.283,11028,"NO","NO","Muy pequena",1
"51",50000,50900,"SUCRE",0.6307,99.2637,12.7053,86.8535,38.4042,69.6481,12255,"NO","NO","Muy pequena",2
"52",50000,51000,"VICTOR FAJARDO",0.6156,99.1369,8.7686,77.8064,46.8821,69.3787,24213,"NO","NO","Muy pequena",2
