"","SP_ID","IDPROV","IDDPTO","NOMBDEP","NOMBPROV","SUP_INSULA","SUP_LACUST","SUP_INS_D","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamient","electrific","poblacion","costa","capital","tamano","fecundidad","desnutrici","densidadpo","mortalidad","analfa","analfa1","analfa2","analfa3","analfa4","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"1","116","1304","13","LA LIBERTAD","CHEPEN",0,0,0,0.377879949,74.44,62.50938998,8.037114639,343.056896,0.757,99.096,13.0308,92.1739,84.7516,80.7373,84037,"SI","NO",2,2.44,18.933333,66.51,14.7,7.44,6.56,11.6,4.01,10.8,75980,62153,13827,37909,38071,15236,33121
"2","117","1305","13","LA LIBERTAD","JULCAN",0,0,0,0.195177713,70.67,23.18497146,4.243114513,155.558216,0.5272,97.7276,9.0297,60.0022,54.2229,36.6195,32400,"NO","NO",1,3.98,54.25065,29.95,26.4,17.39,13.04,18.21,7.67,26.99,32985,4886,28099,16509,16476,6483,9723
"3","118","1306","13","LA LIBERTAD","OTUZCO",0,0,0,0.223930858,72.74,30.09362596,4.5791231,178.3443601,0.5877,97.0273,11.9985,59.9136,61.6578,55.241,92237,"NO","NO",2,3.32,45.156359,42.08,19.6,15.64,9.73,17.68,7.97,23.36,88817,21179,67638,44769,44048,14794,30304
"4","119","1307","13","LA LIBERTAD","PACASMAYO",0,0,0,0.397975561,75.63,64.0517273,8.860725088,361.2748166,0.7841,99.301,15.9519,93.8715,82.1331,90.1695,101954,"SI","NO",3,2.33,15.377904,83.77,11.4,5.99,5.44,13.46,3.42,8.46,94377,87718,6659,46661,47716,21760,36775
"5","113","1301","13","LA LIBERTAD","TRUJILLO",0,0,0,0.471726762,75.09,69.41866008,10.4379811,511.9673189,0.888,99.3464,32.9186,95.7003,98.0614,96.0229,914036,"SI","SI",4,2.02,10.894048,459.1,12.9,3.46,3.32,9.67,1.62,5.12,811979,792355,19624,392486,419493,240401,320177
"6","114","1302","13","LA LIBERTAD","ASCOPE",0,0,0,0.411880265,74.08,67.35516034,8.969692645,396.0647035,0.7553,99.5,17.602,96.5098,65.4569,86.8584,120884,"SI","NO",3,2.21,18.310537,43.77,15.7,5.52,4.96,9.62,2.96,8.05,116229,102230,13999,58299,57930,26564,44878
"7","115","1303","13","LA LIBERTAD","BOLIVAR",0,0,0,0.200726603,72.4,25.07491243,5.560417051,132.928948,0.5894,96.7847,17.0746,59.0046,51.4671,58.9619,16910,"NO","NO",1,5.37,64.709951,9.69,20.7,12.94,7.43,16.25,7.74,18.51,16650,5754,10896,8607,8043,2425,3009
"8","120","1308","13","LA LIBERTAD","PATAZ",0,0,0,0.217107549,70.01,26.75645872,5.374981331,164.561778,0.6038,95.7538,11.8223,61.6108,58.1123,66.7366,85687,"NO","NO",2,4.57,58.558247,18.55,28.8,20.03,8.78,24.47,10.82,30.97,78383,20462,57921,41638,36745,9708,18759
"9","121","1309","13","LA LIBERTAD","SANCHEZ CARRION",0,0,0,0.180323063,69.9,24.02419553,3.722521288,142.0926904,0.4838,96.212,8.273,48.1215,39.5255,44.2572,149616,"NO","NO",3,3.98,65.379593,54.79,29.2,28.32,13.21,34.65,14.33,40.93,136221,36585,99636,66321,69900,16838,45056
"10","191","2402","24","TUMBES","CONTRALMIRANTE VILLAR",0,0,0,0.396639069,75.45,58.04013146,7.961953666,399.5140209,0.6659,99.1872,6.6236,81.4642,59.7919,81.4494,19180,"NO","NO",1,2.87,11.206156,7.97,11.9,3.6,2.97,5.73,2.88,4.42,16914,13244,3670,8951,7963,2950,8403
