"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,178,"PER","Peru",1,"Amazonas",1,"Bagua","PE.AM.BG",NA,"","Provincia","Province","",""
2,178,"PER","Peru",1,"Amazonas",2,"Bongará","PE.AM.BN",NA,"","Provincia","Province","","Bongart"
3,178,"PER","Peru",1,"Amazonas",3,"Chachapoyas","PE.AM.CP",NA,"","Provincia","Province","",""
4,178,"PER","Peru",1,"Amazonas",4,"Condorcanqui","PE.AM.CQ",NA,"","Provincia","Province","",""
5,178,"PER","Peru",1,"Amazonas",5,"Luya","PE.AM.LY",NA,"","Provincia","Province","",""
6,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza","PE.AM.RM",NA,"","Provincia","Province","","Rodreguez de Mendoza"
7,178,"PER","Peru",1,"Amazonas",7,"Utcubamba","PE.AM.UT",NA,"","Provincia","Province","",""
8,178,"PER","Peru",2,"Ancash",8,"Aija","PE.AN.AJ",NA,"","Provincia","Province","",""
9,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi","PE.AN.AR",NA,"","Provincia","Province","",""
10,178,"PER","Peru",2,"Ancash",10,"Asunción","PE.AN.AI",NA,"","Provincia","Province","","Asuncitn"
11,178,"PER","Peru",2,"Ancash",11,"Bolognesi","PE.AN.BO",NA,"","Provincia","Province","",""
12,178,"PER","Peru",2,"Ancash",12,"Carhuaz","PE.AN.CZ",NA,"","Provincia","Province","",""
13,178,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald","PE.AN.CF",NA,"","Provincia","Province","",""
14,178,"PER","Peru",2,"Ancash",14,"Casma","PE.AN.CA",NA,"","Provincia","Province","",""
15,178,"PER","Peru",2,"Ancash",15,"Corongo","PE.AN.CG",NA,"","Provincia","Province","",""
16,178,"PER","Peru",2,"Ancash",16,"Huaraz","PE.AN.HZ",NA,"","Provincia","Province","",""
17,178,"PER","Peru",2,"Ancash",17,"Huari","PE.AN.HI",NA,"","Provincia","Province","",""
18,178,"PER","Peru",2,"Ancash",18,"Huarmey","PE.AN.HA",NA,"","Provincia","Province","",""
19,178,"PER","Peru",2,"Ancash",19,"Huaylas","PE.AN.HY",NA,"","Provincia","Province","",""
20,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga","PE.AN.ML",NA,"","Provincia","Province","",""
21,178,"PER","Peru",2,"Ancash",21,"Ocros","PE.AN.OC",NA,"","Provincia","Province","",""
22,178,"PER","Peru",2,"Ancash",22,"Pallasca","PE.AN.PL",NA,"","Provincia","Province","",""
23,178,"PER","Peru",2,"Ancash",23,"Pomabamba","PE.AN.PB",NA,"","Provincia","Province","",""
24,178,"PER","Peru",2,"Ancash",24,"Recuay","PE.AN.RE",NA,"","Provincia","Province","",""
25,178,"PER","Peru",2,"Ancash",25,"Santa","PE.AN.ST",NA,"","Provincia","Province","",""
26,178,"PER","Peru",2,"Ancash",26,"Sihuas","PE.AN.SH",NA,"","Provincia","Province","",""
27,178,"PER","Peru",2,"Ancash",27,"Yungay","PE.AN.YN",NA,"","Provincia","Province","",""
28,178,"PER","Peru",3,"Apurímac",28,"Abancay","PE.AP.AB",NA,"","Provincia","Province","",""
29,178,"PER","Peru",3,"Apurímac",29,"Andahuaylas","PE.AP.AH",NA,"","Provincia","Province","",""
30,178,"PER","Peru",3,"Apurímac",30,"Antabamba","PE.AP.AN",NA,"","Provincia","Province","",""
31,178,"PER","Peru",3,"Apurímac",31,"Aymaraes","PE.AP.AE",NA,"","Provincia","Province","",""
32,178,"PER","Peru",3,"Apurímac",32,"Chincheros","PE.AP.CH",NA,"","Provincia","Province","",""
33,178,"PER","Peru",3,"Apurímac",33,"Cotabambas","PE.AP.CO",NA,"","Provincia","Province","",""
34,178,"PER","Peru",3,"Apurímac",34,"Grau","PE.AP.GR",NA,"","Provincia","Province","",""
35,178,"PER","Peru",4,"Arequipa",35,"Arequipa","PE.AR.AQ",NA,"","Provincia","Province","",""
36,178,"PER","Peru",4,"Arequipa",36,"Camaná","PE.AR.CM",NA,"","Provincia","Province","","Camann"
37,178,"PER","Peru",4,"Arequipa",37,"Caravelí","PE.AR.CR",NA,"","Provincia","Province","","Caravel"
38,178,"PER","Peru",4,"Arequipa",38,"Castilla","PE.AR.CT",NA,"","Provincia","Province","",""
39,178,"PER","Peru",4,"Arequipa",39,"Caylloma","PE.AR.CY",NA,"","Provincia","Province","",""
40,178,"PER","Peru",4,"Arequipa",40,"Condesuyos","PE.AR.CS",NA,"","Provincia","Province","",""
41,178,"PER","Peru",4,"Arequipa",41,"Islay","PE.AR.IS",NA,"","Provincia","Province","",""
42,178,"PER","Peru",4,"Arequipa",42,"La Unión","PE.AR.LU",NA,"","Provincia","Province","","La Unitn"
43,178,"PER","Peru",5,"Ayacucho",43,"Cangallo","PE.AY.CG",NA,"","Provincia","Province","",""
44,178,"PER","Peru",5,"Ayacucho",44,"Huamanga","PE.AY.HM",NA,"","Provincia","Province","",""
